1745612618529171 - DROP: Packet 12 at end of ingress (egress_spec == drop_port)
1745612618529226 - DROP: Packet 37 at end of ingress (egress_spec == drop_port)
1745612618544226 - DROP: Packet 13 at end of ingress (egress_spec == drop_port)
1745612618544363 - DROP: Packet 34 at end of ingress (egress_spec == drop_port)
1745612618592858 - DROP: Packet 35 at end of ingress (egress_spec == drop_port)
1745612618593813 - DROP: Packet 38 at end of ingress (egress_spec == drop_port)
1745612618595892 - DROP: Packet 39 at end of ingress (egress_spec == drop_port)
1745612618596093 - DROP: Packet 14 at end of ingress (egress_spec == drop_port)
1745612618597118 - DROP: Packet 40 at end of ingress (egress_spec == drop_port)
1745612618608335 - DROP: Packet 15 at end of ingress (egress_spec == drop_port)
1745612618608453 - DROP: Packet 16 at end of ingress (egress_spec == drop_port)
1745612618609267 - DROP: Packet 41 at end of ingress (egress_spec == drop_port)
1745612618609380 - DROP: Packet 36 at end of ingress (egress_spec == drop_port)
1745612618611137 - DROP: Packet 17 at end of ingress (egress_spec == drop_port)
1745612618611420 - DROP: Packet 42 at end of ingress (egress_spec == drop_port)
1745612618611614 - DROP: Packet 37 at end of ingress (egress_spec == drop_port)
1745612618611734 - DROP: Packet 38 at end of ingress (egress_spec == drop_port)
1745612618611850 - DROP: Packet 39 at end of ingress (egress_spec == drop_port)
1745612618611969 - DROP: Packet 40 at end of ingress (egress_spec == drop_port)
1745612618612090 - DROP: Packet 41 at end of ingress (egress_spec == drop_port)
1745612618614618 - DROP: Packet 43 at end of ingress (egress_spec == drop_port)
1745612618656928 - DROP: Packet 44 at end of ingress (egress_spec == drop_port)
1745612618660138 - DROP: Packet 42 at end of ingress (egress_spec == drop_port)
1745612618660193 - DROP: Packet 18 at end of ingress (egress_spec == drop_port)
1745612618704389 - DROP: Packet 43 at end of ingress (egress_spec == drop_port)
1745612618708545 - DROP: Packet 45 at end of ingress (egress_spec == drop_port)
1745612618708699 - DROP: Packet 44 at end of ingress (egress_spec == drop_port)
1745612618708827 - DROP: Packet 45 at end of ingress (egress_spec == drop_port)
1745612618709664 - DROP: Packet 19 at end of ingress (egress_spec == drop_port)
1745612618721089 - DROP: Packet 46 at end of ingress (egress_spec == drop_port)
1745612618723016 - DROP: Packet 20 at end of ingress (egress_spec == drop_port)
1745612618724047 - DROP: Packet 47 at end of ingress (egress_spec == drop_port)
1745612618736303 - DROP: Packet 21 at end of ingress (egress_spec == drop_port)
1745612618738317 - DROP: Packet 48 at end of ingress (egress_spec == drop_port)
1745612618738447 - DROP: Packet 49 at end of ingress (egress_spec == drop_port)
1745612618748218 - DROP: Packet 46 at end of ingress (egress_spec == drop_port)
1745612618749461 - DROP: Packet 22 at end of ingress (egress_spec == drop_port)
1745612618750368 - DROP: Packet 47 at end of ingress (egress_spec == drop_port)
1745612618779636 - DROP: Packet 48 at end of ingress (egress_spec == drop_port)
1745612618779861 - DROP: Packet 23 at end of ingress (egress_spec == drop_port)
1745612618814412 - DROP: Packet 50 at end of ingress (egress_spec == drop_port)
1745612618814523 - DROP: Packet 24 at end of ingress (egress_spec == drop_port)
1745612618843528 - DROP: Packet 49 at end of ingress (egress_spec == drop_port)
1745612618843598 - DROP: Packet 51 at end of ingress (egress_spec == drop_port)
1745612618853880 - DROP: Packet 52 at end of ingress (egress_spec == drop_port)
1745612618855114 - DROP: Packet 53 at end of ingress (egress_spec == drop_port)
1745612618855117 - DROP: Packet 25 at end of ingress (egress_spec == drop_port)
1745612618855916 - DROP: Packet 50 at end of ingress (egress_spec == drop_port)
1745612618865330 - DROP: Packet 51 at end of ingress (egress_spec == drop_port)
1745612618907375 - DROP: Packet 52 at end of ingress (egress_spec == drop_port)
1745612618927219 - DROP: Packet 53 at end of ingress (egress_spec == drop_port)
1745612618973413 - DROP: Packet 54 at end of ingress (egress_spec == drop_port)
1745612618978410 - DROP: Packet 26 at end of ingress (egress_spec == drop_port)
