flow_id,sender,receiver,flow_size,total_sent,total_received,duration,progress,source_ip,destination_ip
63,h19,h716,3333000,3334471.68,3334471.68,10.5516,100.04415481548155,10.0.1.17,10.0.7.31
64,h54,h63,53000,53043.2,53043.2,0.2668,100.08150943396225,10.0.5.7,10.0.6.5
65,h12,h516,133000,133120.0,133120.0,0.5118,100.09022556390978,10.0.1.3,10.0.5.31
66,h11,h916,6667000,6668943.36,6668943.36,9.9458,100.02914894255288,10.0.1.1,10.0.9.31
67,h315,h82,19000,19046.4,19046.4,0.1668,100.2442105263158,10.0.3.29,10.0.8.3
68,h110,h815,6667000,6668943.36,6668943.36,9.8053,100.02914894255288,10.0.1.19,10.0.8.29
69,h31,h99,133000,133120.0,133120.0,0.9257,100.09022556390978,10.0.3.1,10.0.9.17
70,h15,h915,3333000,3334471.68,3334471.68,6.8928,100.04415481548155,10.0.1.9,10.0.9.29
71,h16,h515,6667000,6668943.36,6668943.36,11.1086,100.02914894255288,10.0.1.11,10.0.5.29
72,h48,h77,667000,666624.0,666624.0,2.6959,99.94362818590704,10.0.4.15,10.0.7.13
